ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
1322|Super Bases Loaded 3: License to Steal•Super Moero!! Pro YakyuuJP|Jaleco|1995|1994|Sports|"Super Bases Loaded 3 is a baseball video game developed by Tose and published by Jaleco. It was released in Japan on December 23, 1994, and in North America on February 1995. The game introduces new features such as a 'License to Steal' mode for added excitement."
1323|Super Batter Up•Super FamistaJP|Namco|1992|1992|Sports|"Super Batter Up, also known as Super Famista in Japan, is a baseball video game developed and published by Namco. It was released in Japan on March 27, 1992, and in North America on October 1, 1992. The game offers a fun and engaging baseball experience for players of all ages."
1324|Super Battleship|Mindscape|1993||Strategy|"Super Battleship is a naval strategy video game developed by World Builders Synergistic and published by Mindscape. It was released in North America in November 1993. Players command a battleship and engage in tactical combat against enemy fleets."
1325|Super Battletank 2|Absolute Entertainment|1994|1994|Action|"Super Battletank 2 is an action game developed and published by Absolute Entertainment. It was released in Japan on March 27, 1994, in North America on January 11, 1994, and in the PAL region on August 8, 1994. Players control a tank and complete missions in various war scenarios."
1326|Super Bikkuriman|BEC|1993||Action|"Super Bikkuriman is an action game developed by Tom Create and published by BEC. It was released in Japan on January 29, 1993. The game features platforming gameplay with a focus on collecting items and defeating enemies."
1327|Super Birdie Rush|Data East|1992||Action|"Super Birdie Rush is an action game developed and published by Data East. It was released in Japan on March 6, 1992. Players control a bird character and navigate through challenging levels to reach the end goal."
1328|Super Black Bass|Hot-B|1993|1992|Sports|"Super Black Bass is a fishing simulation game developed by Starfish and published by Hot-B. It was released in Japan on December 4, 1992, and in North America on May 1993. Players compete in fishing tournaments and aim to catch the biggest bass."
1329|Super Black Bass 3|Starfish|1995|1995|Sports|"Super Black Bass 3 is a fishing simulation game developed by Starfish. It was released in Japan on December 15, 1995. The game offers realistic fishing mechanics and a variety of locations to explore."
1330|Super Bomberman: Panic Bomber W|Hudson Soft|1995||Puzzle|"Super Bomberman: Panic Bomber W is a puzzle game developed by Raizing and published by Hudson Soft. It was released in Japan on March 1, 1995. Players engage in fast-paced puzzle battles by matching colored blocks to clear the board."
1331|Super Bomberman|Hudson Soft|1993|1993|Action|"Super Bomberman is an action game developed by Produce and published by Hudson Soft. It was released in Japan on April 28, 1993, and in North America on September 1993. The game features maze-like levels where players strategically place bombs to defeat enemies."
1332|Super Bomberman 2|Hudson Soft|1994|1994|Action|"Super Bomberman 2 is an action game developed by Produce and published by Hudson Soft. It was released in Japan on April 28, 1994, and in North America on September 1994. The game introduces new power-ups and multiplayer modes for enhanced gameplay."
1333|Super Bomberman 3|Hudson Soft|1995|1995|Action|"Super Bomberman 3 is an action game developed and published by Hudson Soft. It was released in Japan on April 28, 1995, and features new levels, enemies, and multiplayer options for an exciting gaming experience."
1334|Super Bomberman 4|Hudson Soft|1996|1996|Action|"Super Bomberman 4 is an action game developed by Produce and published by Hudson Soft. It was released in Japan on April 26, 1996. The game continues the series' tradition of explosive multiplayer battles and challenging single-player campaigns."
1335|Super Bomberman 5|Hudson Soft|1997|1997|Action|"Super Bomberman 5 is an action game developed and published by Hudson Soft. It was released in Japan on February 28, 1997, and offers new levels, power-ups, and multiplayer modes for endless bombing fun."
1336|Super Bombliss|Bullet-Proof Software|1995|1995|Puzzle|"Super Bombliss is a puzzle game developed by Tose and published by Bullet-Proof Software. It was released in Japan on March 17, 1995. Players must strategically place falling blocks to create chain reactions and clear the board."
1337|Super Bonk•Super B.C. KidEU•Chou GenjinJP|Hudson Soft|1994|1994|Action|"Super Bonk, also known as Super B.C. Kid in Europe and Chou Genjin in Japan, is a platformer game developed by A.I. Company Ltd. and published by Hudson Soft. It was released in Japan on July 22, 1994, in North America on November 1994, and in the PAL region in 1995. Players control Bonk, a caveman with powerful headbutting abilities, on a quest to rescue Princess Za."
1338|Super Bowling|Technōs Japan (JP)American Technōs (NA)|1992|1992|Sports|"Super Bowling is a sports game developed by Athena and published by Technōs Japan in Japan and American Technōs in North America. It was released in Japan on July 3, 1992, and in North America on September 1992. Players can enjoy realistic bowling gameplay with various modes and challenges."
1339|Super Buster Bros. †•Super PangEU|Capcom|1992|1992|Puzzle|"Super Buster Bros., also known as Super Pang in Europe, is a puzzle game developed and published by Capcom. It was released in Japan on August 7, 1992, in North America on October 1992, and in the PAL region in 1992. Players must pop bubbles to clear the screen and progress through levels of increasing difficulty."
1340|Super Caesars Palace|Virgin Interactive|1993|1993|Casino|"Super Caesars Palace is a casino video game where players can experience various casino games such as poker, blackjack, and roulette in a virtual environment."
1341|Super Casino 2|Coconuts Japan||1995|Casino|"Super Casino 2 is a casino game developed by OeRSTED. It offers a variety of casino games for players to enjoy, including slots, poker, and blackjack."
1342|Super Castles|Victor Interactive Software||1994|Strategy|"Super Castles is a strategy game where players build and manage their own castles. With a focus on resource management and strategic planning, players must defend their castle from enemies and expand their territory."
1343|Super Castlevania IV•Akumajou DraculaJP|Konami|1991|1991|Action-adventure|"Super Castlevania IV, also known as Akumajou Dracula in Japan, is an action-adventure game where players control vampire hunter Simon Belmont. With challenging platforming levels and epic boss battles, players must navigate through Dracula's castle to defeat the evil count."
1344|Super Chase H.Q.•Super H.Q. Criminal ChaserJP|Taito|1993|1993|Racing|"Super Chase H.Q., also known as Super H.Q. Criminal Chaser in Japan, is a racing game where players take on the role of a police officer chasing down criminals. With high-speed pursuits and intense action, players must apprehend the suspects before time runs out."
1345|Super Chinese Fighter|Culture Brain||1995|Fighting|"Super Chinese Fighter is a fighting game developed by Culture Brain. Players can choose from a variety of martial arts characters and engage in one-on-one battles to become the ultimate champion."
1346|Super Chinese World 2: Uchuu Ichibuto Daikai|Culture Brain||1993|1993|Action|"Super Chinese World 2: Uchuu Ichibuto Daikai is an action game that continues the adventures of the popular Super Chinese series. Players embark on a journey through various worlds, battling enemies and solving puzzles to save the day."
1347|Super Chinese World 3 - Chou Jigen Daisakusen|Culture Brain||1995|1995|Role-playing|"Super Chinese World 3 - Chou Jigen Daisakusen is a role-playing game where players control a team of heroes on a quest to defeat an evil force threatening the world. With turn-based battles and a deep storyline, players must strategize to overcome challenges and save the day."
1348|Super Conflict|Vic Tokai|1993||Strategy|"Super Conflict is a strategy game developed by Vic Tokai. Players take on the role of a military commander leading their forces to victory in various tactical missions. With a focus on strategic planning and resource management, players must outwit their opponents to achieve success."
1349|Super Dany|Virgin Interactive||1994|Adventure|"Super Dany is an adventure game developed by Cryo Interactive. Players embark on a thrilling journey as the titular character, Dany, exploring mysterious worlds and solving puzzles to uncover the secrets of a forgotten civilization."
1350|Super Double Dragon•Return of Double DragonJP|Tradewest|1992|1992|Action|"Super Double Dragon, also known as Return of Double Dragon in Japan, is an action game where players control martial artists Billy and Jimmy Lee. With fast-paced combat and challenging levels, players must defeat hordes of enemies to rescue a kidnapped ally."
1351|Super Double Yakuman|VAP||1994|1994|Puzzle|"Super Double Yakuman is a puzzle game developed by VAP. Players can enjoy the classic Japanese tile-matching game of Mahjong, testing their skills and strategy to achieve victory."
1352|Super Double Yakuman II|VAP||1997|1997|Puzzle|"Super Double Yakuman II is a sequel to the popular Mahjong puzzle game. With improved graphics and gameplay mechanics, players can once again challenge themselves in the world of Japanese tile-matching."
1353|Super Drift Out|Visco Corporation||1995|1995|Racing|"Super Drift Out is a racing game developed by Dragnet. Players can experience the thrill of drifting in high-speed competitions across various tracks. With realistic physics and challenging AI opponents, players must master the art of drifting to emerge victorious."
1354|Super Dropzone•Archer MacLean's Super Dropzone|Psygnosis|||Shooter|"Super Dropzone, also known as Archer MacLean's Super Dropzone, is a shooter game developed by Eurocom. Players pilot a spacecraft through intense battles, shooting down enemy forces and completing missions to save the galaxy."
1355|Super Earth Defense Force|Jaleco|1992|1991|Shooter|"Super Earth Defense Force is a shooter game developed by Jaleco. Players take on the role of a pilot defending Earth from alien invaders. With fast-paced action and challenging levels, players must shoot down enemy ships and bosses to save the planet."
1356|Super Dimension Fortress Macross: Scrambled Valkyrie|Zamuse||1993|1993|Shooter|"Super Dimension Fortress Macross: Scrambled Valkyrie is a shooter game based on the popular Macross anime series. Players pilot transforming mechs known as Valkyries, battling against alien forces in intense aerial combat."
1357|Super Dunk Star|Sammy Corporation||1993|1993|Sports|"Super Dunk Star is a sports game developed by C-Lab. Players can experience the excitement of basketball with fast-paced gameplay and slam-dunk action. With multiple game modes and teams to choose from, players can compete in thrilling matches to become the ultimate dunk star."
1358|Super F1 Circus|Nichibutsu||1992|1992|Racing|"Super F1 Circus is a racing game developed by Cream. Players can race in Formula 1 cars across various circuits, competing against AI opponents in high-speed challenges. With realistic driving mechanics and detailed tracks, players can experience the thrill of F1 racing."
1359|Super F1 Circus 2|Nichibutsu||1993|1993|Racing|"Super F1 Circus 2 is the sequel to the popular racing game, offering new tracks and challenges for players to conquer. With improved graphics and gameplay features, players can once again experience the excitement of Formula 1 racing."
1360|Super F1 Circus 3|Nichibutsu|Unreleased|1994|Racing|"Super F1 Circus 3 is a racing game developed by Cream and published by Nichibutsu. It was released in Japan on July 15, 1994. The game features realistic F1 racing simulation with various circuits and cars to choose from."
1361|Super F1 Circus Gaiden|Nichibutsu|Unreleased|1995|Racing|"Super F1 Circus Gaiden is a racing game developed by Cream and published by Nichibutsu. It was released in Japan on July 7, 1995. The game offers an enhanced F1 racing experience with updated graphics and gameplay mechanics."
1362|Super F1 Circus Limited|Nichibutsu|Unreleased|1992|Racing|"Super F1 Circus Limited is a racing game developed by Cream and published by Nichibutsu. It was released in Japan on October 23, 1992. The game introduces limited edition cars and tracks for players to enjoy."
1363|Super F1 Hero|Varie|Unreleased|1992|Racing|"Super F1 Hero is a racing game developed by Aprinet and published by Varie. It was released in Japan on December 18, 1992. The game focuses on the heroic journey of F1 drivers competing in intense races."
1364|Super Famicom Wars|Nintendo|Unreleased|1998|Strategy|"Super Famicom Wars is a strategy game developed by Intelligent Systems and published by Nintendo. It was released in Japan on May 1, 1998. The game offers turn-based tactical gameplay with a variety of units and maps."
1365|Super Family Circuit|Namco|Unreleased|1994|Racing|"Super Family Circuit is a racing game developed by Game Studio and published by Namco. It was released in Japan on October 21, 1994. The game features family-friendly racing action with colorful tracks and fun characters."
1366|Super Family Gelände|Namco|Unreleased|1998|Racing|"Super Family Gelände is a racing game published by Namco. It was released in Japan on February 1, 1998. The game focuses on off-road racing challenges in various terrains and environments."
1367|Super Famista 2|Namco|Unreleased|1993|Sports|"Super Famista 2 is a sports game published by Namco. It was released in Japan on March 12, 1993. The game offers an immersive baseball experience with realistic gameplay and team management features."
1368|Super Famista 3|Namco|Unreleased|1994|Sports|"Super Famista 3 is a sports game published by Namco. It was released in Japan on March 4, 1994. The game introduces new gameplay mechanics and updated rosters for an enhanced baseball simulation."
1369|Super Famista 4|Namco|Unreleased|1995|Sports|"Super Famista 4 is a sports game published by Namco. It was released in Japan on March 3, 1995. The game features improved graphics and gameplay elements, offering a realistic baseball experience."
1370|Super Famista 5|Namco|Unreleased|1996|Sports|"Super Famista 5 is a sports game published by Namco. It was released in Japan on February 29, 1996. The game includes updated teams and stadiums, providing an authentic baseball simulation."
1371|Super Final Match Tennis|Human Entertainment|Unreleased|1994|Sports|"Super Final Match Tennis is a sports game developed and published by Human Entertainment. It was released in Japan on August 12, 1994. The game offers realistic tennis gameplay with various modes and tournaments to compete in."
1372|Super Fire Pro Wrestling|Human Entertainment|Unreleased|1991|Sports|"Super Fire Pro Wrestling is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on December 20, 1991. The game features a deep wrestling experience with customizable characters and intense matches."
1373|Super Fire Pro Wrestling: Queen's Special|Human Entertainment|Unreleased|1995|Sports|"Super Fire Pro Wrestling: Queen's Special is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on June 30, 1995. The game focuses on female wrestling competitions with unique characters and storylines."
1374|Super Fire Pro Wrestling 2|Human Entertainment|Unreleased|1992|Sports|"Super Fire Pro Wrestling 2 is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on December 25, 1992. The game offers an enhanced wrestling experience with new moves and match types."
1375|Super Fire Pro Wrestling 3 Easy Type|Human Entertainment|Unreleased|1994|Sports|"Super Fire Pro Wrestling 3 Easy Type is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on February 4, 1994. The game caters to beginners with simplified controls and gameplay mechanics."
1376|Super Fire Pro Wrestling 3 Final Bout|Human Entertainment|Unreleased|1993|Sports|"Super Fire Pro Wrestling 3 Final Bout is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on December 28, 1993. The game features intense wrestling action with a focus on championship bouts and rivalries."
1377|Super Fire Pro Wrestling Special|Human Entertainment|Unreleased|1994|Sports|"Super Fire Pro Wrestling Special is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on December 22, 1994. The game offers a special edition of the Fire Pro Wrestling series with new features and challenges."
1378|Super Fire Pro Wrestling X|Human Entertainment|Unreleased|1995|Sports|"Super Fire Pro Wrestling X is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on December 22, 1995. The game introduces updated rosters and enhanced gameplay mechanics for a more immersive wrestling experience."
1379|Super Fire Pro Wrestling X Premium|Human Entertainment|Unreleased|1996|Sports|"Super Fire Pro Wrestling X Premium is a sports game developed by Human Club and published by Human Entertainment. It was released in Japan on March 29, 1996. The game offers premium content and features for wrestling enthusiasts, including new match types and customization options."
1380|Super Fishing: Big Fight|Naxat Soft|Unreleased|1994|Sports|"Experience the thrill of deep-sea fishing in this action-packed game where you compete to catch the biggest fish. Choose your equipment wisely and strategize to outsmart your opponents in this virtual fishing adventure."
1381|Super Formation Soccer 94|Human Entertainment|Unreleased|1994|Sports|"Step onto the soccer field and lead your team to victory in this classic sports simulation game. With realistic gameplay and strategic depth, Super Formation Soccer 94 offers an immersive soccer experience for fans of the sport."
1382|Super Formation Soccer 95: della Serie A|Human Entertainment|Unreleased|1995|Sports|"Immerse yourself in the world of Italian soccer with Super Formation Soccer 95: della Serie A. Featuring authentic teams and players from the Serie A league, this game offers a realistic soccer experience for fans of the sport."
1383|Super Formation Soccer 95: della Serie A: UCC Xaqua|Human Entertainment|Unreleased|1995|Sports|"Take your soccer skills to the next level with Super Formation Soccer 95: della Serie A: UCC Xaqua. Compete against top teams in the Serie A league and showcase your talent on the field in this exciting sports game."
1384|Super Formation Soccer 96: World Club Edition|Human Entertainment|Unreleased|1996|Sports|"Experience the thrill of international soccer competition in Super Formation Soccer 96: World Club Edition. Lead your favorite club team to victory against top teams from around the world in this exciting sports game."
1385|Super Formation Soccer II|Human Entertainment|Unreleased|1993|Sports|"Kick off your soccer career in Super Formation Soccer II. With improved graphics and gameplay mechanics, this sequel offers an enhanced soccer experience for fans of the sport."
1386|Super Ghouls 'n Ghosts †•Chou MakaimuraJP|Capcom|1991|1991|Action|"Embark on a challenging quest to rescue Princess Prin Prin in this classic side-scrolling platformer. Battle hordes of undead enemies and powerful bosses as you journey through haunted lands in Super Ghouls 'n Ghosts."
1387|Super Goal! 2•Takeda Nobuhiro no Super Cup SoccerJP|Jaleco|1994|1993|Sports|"Take on the role of a soccer manager and lead your team to victory in Super Goal! 2•Takeda Nobuhiro no Super Cup Soccer. Manage your players, tactics, and strategy to win the prestigious Super Cup in this exciting sports simulation game."
1388|Super Godzilla•Chou-GodzillaJP|Toho|1994|1993|Action|"Unleash the power of Godzilla in this action-packed monster brawler. Control the King of the Monsters as he battles other kaiju and defends the city from destruction in Super Godzilla."
1389|Super Gomoku Narabe Renju|Naxat Soft|Unreleased|1994|Board game|"Test your strategic skills in the ancient game of Gomoku Narabe Renju. Outsmart your opponent and line up your pieces to achieve victory in this classic board game."
1390|Super Gomoku Shougi|Nichibutsu|Unreleased|1994|Board game|"Immerse yourself in the world of Japanese board games with Super Gomoku Shougi. Play against challenging opponents and master the art of strategic gameplay in this traditional board game experience."
1391|Super Gussun Oyoyo|Banpresto|Unreleased|1995|Puzzle|"Embark on a whimsical puzzle adventure in Super Gussun Oyoyo. Help the Gussun creatures navigate through challenging levels filled with obstacles and traps in this charming puzzle game."
1392|Super Gussun Oyoyo 2|Banpresto|Unreleased|1996|Puzzle|"Return to the world of the Gussun creatures in Super Gussun Oyoyo 2. Solve new puzzles, overcome obstacles, and explore vibrant worlds in this delightful sequel to the original puzzle game."
1393|Super Hanafuda|I'Max|Unreleased|1994|Card game|"Experience the traditional Japanese card game of Hanafuda in a digital format. Learn the rules, master the strategies, and compete against skilled opponents in Super Hanafuda."
1394|Super Hanafuda 2|I'Max|Unreleased|1995|Card game|"Dive back into the world of Hanafuda with Super Hanafuda 2. Enjoy new card designs, challenging gameplay, and immersive multiplayer modes in this sequel to the classic card game."
1395|Super High Impact|Acclaim Entertainment|1993|1993|Sports|"Get ready for hard-hitting football action in Super High Impact. Take control of your team, make strategic plays, and dominate the gridiron in this intense sports simulation game."
1396|Super Honmei: G1 Seiha|Nichibutsu|Unreleased|1994|Unknown|"Explore the world of competitive horse racing in Super Honmei: G1 Seiha. Train your horses, enter prestigious races, and aim for victory in this thrilling horse racing simulation game."
1397|Super Ice Hockey•Super Hockey '94JP|Sunsoft|Unreleased|1994|Sports|"Hit the ice and compete in fast-paced hockey matches in Super Ice Hockey. Choose your team, master the controls, and score goals to lead your team to victory in this exciting sports game."
1398|Super Igo Go Ou|Naxat Soft|Unreleased|1994|Board game|"Challenge your strategic skills in the ancient game of Go in Super Igo Go Ou. Plan your moves carefully, anticipate your opponent's strategy, and strive to dominate the board in this classic board game experience."
1399|Super Indy Champ|Forum|Unreleased|1994|Racing|"Experience the thrill of IndyCar racing in Super Indy Champ. Customize your car, compete in high-speed races, and aim for the checkered flag in this adrenaline-pumping racing game."
1400|Super International Cricket|Nintendo|1994||"Super International Cricket is a sports video game developed by Beam Software and published by Nintendo. The game was released in 1994 in the PAL region."
1401|Super James Pond•James Pond IIEU|American Softworks|1993|1993||"Super James Pond•James Pond IIEU is an action-adventure video game developed and published by American Softworks. It was released in 1993 in Japan and North America, and in September 1993 in the PAL region."
1402|Super Jangou|Victor Interactive Software||1995||"Super Jangou is a video game published by Victor Interactive Software. It was released in Japan on March 17, 1995."
1403|Super Jinsei Game|Takara||1994||"Super Jinsei Game is a life simulation video game developed and published by Takara. It was released in Japan on March 18, 1994."
1404|Super Jinsei Game 2|Takara||1995||"Super Jinsei Game 2 is a life simulation video game developed and published by Takara. It was released in Japan on September 8, 1995."
1405|Super Jinsei Game 3|Takara||1996||"Super Jinsei Game 3 is a life simulation video game developed and published by Takara. It was released in Japan on November 29, 1996."
1406|Super Keiba|I'Max||1993||"Super Keiba is a horse racing simulation game published by I'Max. It was released in Japan on August 10, 1993."
1407|Super Keiba 2|I'Max||1995||"Super Keiba 2 is a horse racing simulation game developed by Tomcat System and published by I'Max. It was released in Japan on May 19, 1995."
1408|Super Keirin|I'Max||1995||"Super Keirin is a cycling simulation game developed by Betop and published by I'Max. It was released in Japan on July 14, 1995."
1409|Super Kokou Yakyuu: Ichikyuu Jikkon|I'Max||1994||"Super Kokou Yakyuu: Ichikyuu Jikkon is a baseball simulation game published by I'Max. It was released in Japan on August 5, 1994."
1410|Super Kyousouba: Kaze no Sylphid|King Records||1993||"Super Kyousouba: Kaze no Sylphid is a horse racing simulation game published by King Records. It was released in Japan on October 8, 1993."
1411|Super Kyotei|Nichibutsu||1995||"Super Kyotei is a powerboat racing simulation game published by Nichibutsu. It was released in Japan on June 30, 1995."
1412|Super Kyotei 2|Nichibutsu||1996||"Super Kyotei 2 is a powerboat racing simulation game published by Nichibutsu. It was released in Japan on April 26, 1996."
1413|Super Kyuukyoku Harikiri Stadium|Taito||1993||"Super Kyuukyoku Harikiri Stadium is a baseball simulation game published by Taito. It was released in Japan on December 3, 1993."
1414|Super Kyuukyoku Harikiri Stadium 2|Taito||1994||"Super Kyuukyoku Harikiri Stadium 2 is a baseball simulation game developed by Now Production and published by Taito. It was released in Japan on August 12, 1994."
1415|Super Loopz|Imagineer||1994||"Super Loopz is a puzzle video game developed by Graffiti and published by Imagineer. It was released in Japan on March 4, 1994."
1416|Super Mad Champ|Tsukuda Original||1995||"Super Mad Champ is a sports video game developed by Givro and published by Tsukuda Original. It was released in Japan on March 4, 1995."
1417|Super Mahjong|I'Max||1992||"Super Mahjong is a mahjong video game published by I'Max. It was released in Japan on August 22, 1992."
1418|Super Mahjong 2: Honkaku 4 Nin Uchi!|I'Max||1993||"Super Mahjong 2: Honkaku 4 Nin Uchi! is a mahjong video game published by I'Max. It was released in Japan on December 2, 1993."
1419|Super Mahjong 3: Karakuchi|I'Max||1994||"Super Mahjong 3: Karakuchi is a mahjong video game published by I'Max. It was released in Japan on November 25, 1994."
1420|Super Mahjong Taikai|Koei|Unreleased|1992||"A mahjong game released by Koei in Japan on September 12, 1992."
1421|Super Mario All-Stars †•Super Mario CollectionJP|Nintendo|1993|1993||"A compilation of remastered versions of the first four Super Mario games released by Nintendo."
1422|Super Mario All-Stars + Super Mario World|Nintendo|1994||| "A compilation of Super Mario All-Stars and Super Mario World by Nintendo."
1423|Super Mario Kart †|Nintendo|1992|1992||"The classic kart racing game featuring Mario and friends, released by Nintendo."
1424|Super Mario RPG: Legend of the Seven Stars †|Nintendo|1996|1996||"An RPG game developed by Square and published by Nintendo, released in 1996."
1425|Super Mario World †•Super Mario World: Super Mario Bros. 4JP|Nintendo|1991|1990||"The iconic platformer game featuring Mario, released by Nintendo."
1426|Super Mario World 2: Yoshi's Island †•Super Mario: Yoshi IslandJP|Nintendo|1995|1995||"The sequel to Super Mario World, focusing on Yoshi's adventures, released by Nintendo."
1427|Super Metroid|Nintendo|1994|1994||"An action-adventure game where players control Samus Aran, released by Nintendo."
1428|Super Momotarou Dentetsu DX|Hudson Soft|Unreleased|1995||"A video game in the Momotarou Dentetsu series developed by Make and published by Hudson Soft."
1429|Super Momotarou Dentetsu II|Hudson Soft|Unreleased|1992||"A sequel to the original Momotarou Dentetsu game, developed by Make and published by Hudson Soft."
1430|Super Momotarou Dentetsu III|Hudson Soft|Unreleased|1994||"The third installment in the Momotarou Dentetsu series, developed by Make and published by Hudson Soft."
1431|Super Morph|Sony Imagesoft|Unreleased||1993|"A platformer game developed by Millennium Interactive and published by Sony Imagesoft."
1432|Super Naxat Open: Golf de Shoubu da! Dorabocchan|Naxat Soft|Unreleased|1994||"A golf simulation game developed by Kuusou Kagaku and published by Naxat Soft."
1433|Super Nazo Puyo: Ruruu no Ruu|Banpresto|Unreleased|1995||"A puzzle game developed by Compile and published by Banpresto."
1434|Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjouki|Compile|Unreleased|1996||"A sequel to Super Nazo Puyo: Ruruu no Ruu, developed and published by Compile."
1435|Super Nichibutsu Mahjong|Nichibutsu|Unreleased|1992||"A mahjong game released by Nichibutsu in Japan on December 18, 1992."
1436|Super Nichibutsu Mahjong 2: Zenkoku Seiha Hen|Nichibutsu|Unreleased|1993||"A sequel to Super Nichibutsu Mahjong, released by Nichibutsu."
1437|Super Nichibutsu Mahjong 3: Yoshimoto Gekijou Hen|Nichibutsu|Unreleased|1994||"The third installment in the Super Nichibutsu Mahjong series, released by Nichibutsu."
1438|Super Nichibutsu Mahjong 4: Kiso Kenkyuu Hen|Nichibutsu|Unreleased|1996||"The fourth game in the Super Nichibutsu Mahjong series, released by Nichibutsu."
1439|Super Ninja Boy•Super Chinese WorldJP|Culture Brain|1993|1991||"A game developed and published by Culture Brain, released in Japan in 1991 and North America in 1993."
1440|Super Ninja-kun|Jaleco||1994||"Super Ninja-kun is a platform video game released in Japan in August 1994. The game features a ninja protagonist navigating through various levels to defeat enemies and bosses."
1441|Super Nova•Darius ForceJP|Taito|1993|1993||"Super Nova•Darius ForceJP is a shoot 'em up game developed by Taito and Act Japan. It was released in Japan in September 1993 and in North America in December 1993."
1442|Super Off Road|Tradewest|1991|1992||"Super Off Road is a racing video game developed by Software Creations and published by Tradewest. It was released in North America in December 1991 and in Japan in July 1992."
1443|Super Off Road: The Baja•Super 4WD: The BajaJP|Tradewest|1993|1994||"Super Off Road: The Baja•Super 4WD: The BajaJP is a racing game developed by Software Creations and published by Tradewest. It was released in North America in July 1993 and in Japan in June 1994."
1444|Super Okuman Chouja Game|Takara||1995||"Super Okuman Chouja Game is a video game published by Takara in Japan in November 1995. The game features various mini-games and challenges for players to enjoy."
1445|Super Oozumou: Nessen Ooichiban|Namco||1992||"Super Oozumou: Nessen Ooichiban is a sumo wrestling game developed by Namco. It was released in Japan in December 1992, featuring traditional sumo wrestling gameplay."
1446|Super Pachi-Slot Mahjong|Nichibutsu||1994||"Super Pachi-Slot Mahjong is a mahjong simulation game developed by Syscom and published by Nichibutsu. It was released in Japan in April 1994."
1447|Super Pachinko|I'Max||1994||"Super Pachinko is a pachinko simulation game developed by Betop and published by I'Max. It was released in Japan in July 1994."
1448|Super Pachinko Taisen|Banpresto||1995||"Super Pachinko Taisen is a pachinko game published by Banpresto in Japan in April 1995. The game offers a variety of pachinko machines and gameplay modes."
1449|Super Pinball: Behind the Mask|Nintendo|1994|1994||"Super Pinball: Behind the Mask is a pinball video game developed by KaZe and Meldac and published by Nintendo. It was released in North America in May 1994 and in Japan in January 1994."
1450|Super Pinball II: Amazing Odyssey|Meldac||1995||"Super Pinball II: Amazing Odyssey is a pinball game developed by KAZe and published by Meldac. It was released in Japan in March 1995."
1451|Super Play Action Football|Nintendo|1992|||Super Play Action Football is a football video game developed by Tose and published by Nintendo. It was released in North America in August 1992.
1452|Super Power League|Hudson Soft||1993||"Super Power League is a baseball simulation game developed by Now Production and published by Hudson Soft. It was released in Japan in August 1993."
1453|Super Power League 2|Hudson Soft||1994||"Super Power League 2 is a baseball simulation game developed by Now Production and published by Hudson Soft. It was released in Japan in August 1994."
1454|Super Power League 3|Hudson Soft||1995||"Super Power League 3 is a baseball simulation game developed by Now Production and published by Hudson Soft. It was released in Japan in August 1995."
1455|Super Power League 4|Hudson Soft||1996||"Super Power League 4 is a baseball simulation game developed by Now Production and published by Hudson Soft. It was released in Japan in August 1996."
1456|Super Professional Baseball II|Jaleco||1992||"Super Professional Baseball II is a baseball video game developed by Tose and published by Jaleco. It was released in Japan in August 1992."
1457|Super Punch-Out!!|Nintendo|1994|1998||"Super Punch-Out!! is a boxing video game developed and published by Nintendo. It was released in North America in September 1994 and in Japan in March 1998."
1458|Super Putty•Putty MoonJP|U.S. Gold|1993|1993||"Super Putty•Putty MoonJP is a platformer game developed by System 3 and published by U.S. Gold. It was released in North America in November 1993 and in Japan in July 1993."
1459|Super Puyo Puyo|Banpresto||1993||"Super Puyo Puyo is a puzzle video game developed by Compile and published by Banpresto. It was released in Japan in December 1993."
1460|Super Puyo Puyo Tsuu|Compile|Unreleased|1995|Puzzle| "Super Puyo Puyo Tsuu is a classic puzzle video game released in Japan in December 1995. It is the second installment in the Puyo Puyo series, featuring addictive gameplay and colorful graphics."
1461|Super Puyo Puyo Tsuu Remix|Compile|Unreleased|1996|Puzzle| "Super Puyo Puyo Tsuu Remix is an enhanced version of the original game, released in Japan in March 1996. It offers new features and challenges for fans of the series."
1462|Super R.B.I. Baseball|Time Warner Interactive|1995|Unreleased|Sports| "Super R.B.I. Baseball, developed by Gray Matter, offers an exciting baseball gaming experience. It was released in North America in June 1995."
1463|Super R-Type|Irem|1991|1991|Shooter| "Super R-Type is a classic side-scrolling shooter game developed by Irem. It was released in Japan in July 1991, followed by releases in North America and PAL regions."
1464|Super Real Mahjong PIV|SETA|Unreleased|1994|Board| "Super Real Mahjong PIV is a mahjong video game developed by Affect and published by SETA. It was released in Japan in March 1994, offering realistic mahjong gameplay."
1465|Super Real Mahjong PV: Paradise: All-Star 4 Nin Uchi|SETA|Unreleased|1995|Board| "Super Real Mahjong PV: Paradise: All-Star 4 Nin Uchi is a mahjong game set in a paradise theme. It was released in Japan in April 1995, featuring all-star characters."
